rc_on,t_timestamp,latitude,longitude,,,satellites_used
0,2018-06-28_07:34:55.850,60.10718383,19.92438097,,,7
0,2018-06-28_07:34:56.850,60.10718383,19.92438097,,,7
0,2018-06-28_07:34:57.850,60.10718383,19.92438097,,,7
0,2018-06-28_07:34:58.850,60.10717936,19.92438097,,,7
0,2018-06-28_07:34:59.850,60.10717204,19.92437484,,,7
0,2018-06-28_07:35:00.850,60.10717204,19.92437484,,,7
0,2018-06-28_07:35:01.850,60.10717204,19.92437484,,,7
0,2018-06-28_07:35:02.850,60.10717204,19.92437484,,,7
0,2018-06-28_07:35:03.851,60.10717204,19.92437484,,,7
0,2018-06-28_07:35:04.851,60.10717204,19.92437484,,,8
0,2018-06-28_07:35:05.851,60.10717204,19.92437484,,,8
0,2018-06-28_07:35:06.851,60.10717204,19.92437484,,,9
0,2018-06-28_07:35:07.851,60.10717204,19.92437484,,,9
0,2018-06-28_07:35:08.851,60.10717204,19.92437484,,,9
0,2018-06-28_07:35:09.851,60.10717204,19.92437484,,,9
0,2018-06-28_07:35:10.851,60.10717204,19.92437484,,,6
0,2018-06-28_07:35:11.851,60.10717386,19.92439175,,,6
0,2018-06-28_07:35:12.851,60.10717386,19.92439175,,,6
0,2018-06-28_07:35:13.851,60.10717834,19.92439175,,,7
0,2018-06-28_07:35:14.851,60.10717834,19.92439175,,,7
0,2018-06-28_07:35:15.851,60.10717834,19.92439175,,,7
0,2018-06-28_07:35:16.852,60.10718281,19.92439175,,,7
0,2018-06-28_07:35:17.852,60.10718728,19.92439175,,,7
0,2018-06-28_07:35:18.852,60.10718728,19.92439175,,,7
0,2018-06-28_07:35:19.852,60.10719907,19.92439788,,,7
0,2018-06-28_07:35:20.852,60.10719907,19.92439788,,,7
0,2018-06-28_07:35:21.852,60.10719907,19.92439788,,,7
0,2018-06-28_07:35:22.852,60.10720354,19.92439788,,,6
0,2018-06-28_07:35:23.852,60.10720354,19.92439788,,,6
0,2018-06-28_07:35:24.852,60.10720354,19.92439788,,,5
0,2018-06-28_07:35:25.852,60.10720354,19.92439788,,,5
0,2018-06-28_07:35:26.852,60.10720802,19.92439788,,,5
0,2018-06-28_07:35:27.852,60.10720802,19.92439788,,,7
0,2018-06-28_07:35:28.852,60.10720802,19.92439788,,,7
0,2018-06-28_07:35:29.852,60.10720354,19.92439788,,,7
0,2018-06-28_07:35:30.853,60.10720354,19.92439788,,,7
0,2018-06-28_07:35:31.853,60.10720354,19.92439788,,,4
0,2018-06-28_07:35:32.853,60.10720089,19.92441478,,,4
0,2018-06-28_07:35:33.853,60.10720089,19.92441478,,,4
0,2018-06-28_07:35:34.853,60.10719623,19.92439175,,,9
0,2018-06-28_07:35:35.853,60.10719176,19.92439175,,,9
0,2018-06-28_07:35:36.853,60.10719176,19.92439175,,,9
0,2018-06-28_07:35:37.853,60.10719176,19.92439175,,,9
0,2018-06-28_07:35:38.853,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:39.853,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:40.853,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:41.853,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:42.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:43.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:44.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:45.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:46.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:47.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:48.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:49.854,60.10718728,19.92439175,,,7
0,2018-06-28_07:35:50.854,60.10718728,19.92439175,,,7
0,2018-06-28_07:35:51.854,60.10718728,19.92439175,,,7
0,2018-06-28_07:35:52.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:53.854,60.10719176,19.92439175,,,7
0,2018-06-28_07:35:54.854,60.10719176,19.92439175,,,8
0,2018-06-28_07:35:55.854,60.10719176,19.92439175,,,8
0,2018-06-28_07:35:56.854,60.10719176,19.92439175,,,8
0,2018-06-28_07:35:57.855,60.10719176,19.92439175,,,8
0,2018-06-28_07:35:58.855,60.10719623,19.92439175,,,8
0,2018-06-28_07:35:59.855,60.10719623,19.92439175,,,8
0,2018-06-28_07:36:00.855,60.10719623,19.92439175,,,9
0,2018-06-28_07:36:01.855,60.10720336,19.92437484,,,9
0,2018-06-28_07:36:02.855,60.10721514,19.92438097,,,9
0,2018-06-28_07:36:03.855,60.10721514,19.92438097,,,8
0,2018-06-28_07:36:04.855,60.10721514,19.92438097,,,8
0,2018-06-28_07:36:05.855,60.10721514,19.92438097,,,8
0,2018-06-28_07:36:06.855,60.10721514,19.92438097,,,8
0,2018-06-28_07:36:07.855,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:08.855,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:09.856,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:10.856,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:11.856,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:12.856,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:13.856,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:14.856,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:15.856,60.10721962,19.92438097,,,7
0,2018-06-28_07:36:16.856,60.10721779,19.92436407,,,7
0,2018-06-28_07:36:17.856,60.10721514,19.92438097,,,7
0,2018-06-28_07:36:18.856,60.10721514,19.92438097,,,7
0,2018-06-28_07:36:19.856,60.10721779,19.92436407,,,7
0,2018-06-28_07:36:20.856,60.10721779,19.92436407,,,7
0,2018-06-28_07:36:21.856,60.10721779,19.92436407,,,7
0,2018-06-28_07:36:22.856,60.10721779,19.92436407,,,7
0,2018-06-28_07:36:23.857,60.10721779,19.92436407,,,7
0,2018-06-28_07:36:24.857,60.10721779,19.92436407,,,8
0,2018-06-28_07:36:25.857,60.10722511,19.9243702,,,8
0,2018-06-28_07:36:26.857,60.10722511,19.9243702,,,8
0,2018-06-28_07:36:27.857,60.10722511,19.9243702,,,8
0,2018-06-28_07:36:28.857,60.10722511,19.9243702,,,8
0,2018-06-28_07:36:29.857,60.10722511,19.9243702,,,8
1,2018-06-28_08:07:02.827,60.10709314,19.9240294,,,5
1,2018-06-28_08:07:03.827,60.10708135,19.92402327,,,5
1,2018-06-28_08:07:04.827,60.10706509,19.92401714,,,5
1,2018-06-28_08:07:05.827,60.10706061,19.92401714,,,5
1,2018-06-28_08:07:06.827,60.10706061,19.92401714,,,5
1,2018-06-28_08:07:07.827,60.10706528,19.92404017,,,4
